"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\README.md", "Markdown", 0, 0, 1, 0, 0, 1
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\jest.config.js", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\package-lock.json", "JSON", 0, 4412, 0, 0, 1, 4413
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\package.json", "JSON", 0, 23, 0, 0, 1, 24
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\BarChart.js", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\Chart.js", "JavaScript", 22, 0, 0, 0, 6, 28
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\LineChart.js", "JavaScript", 6, 0, 0, 0, 3, 9
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\PieChart.js", "JavaScript", 16, 0, 0, 0, 4, 20
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\test\BarChart.test.js", "JavaScript", 11, 0, 0, 0, 3, 14
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\test\Chart.test.js", "JavaScript", 17, 0, 0, 0, 8, 25
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\test\PieChart.test.js", "JavaScript", 0, 0, 0, 0, 1, 1
"Total", "-", 83, 4435, 1, 0, 29, 4548